state_variable,state_group,n_windows,n_stocks,explosive_rate,gsadf_stat_mean,gsadf_stat_median,gsadf_excess_mean
expansion,high,40,28,0.05,-1.1339767963667877,-1.3520499507715549,-1.5950966729469527
expansion,low,40,31,0.075,-0.8901983578574646,-0.9293689859509225,-1.3513182344376296
expansion,mid,40,30,0.075,-0.8774031496986305,-0.8794956576376975,-1.3385230262787955
extrema_freq,high,40,31,0.05,-1.015600387358239,-1.12687185823018,-1.476720263938404
extrema_freq,low,40,30,0.075,-1.1391418312004384,-1.4011379499264,-1.6002617077806036
extrema_freq,mid,39,32,0.07692307692307693,-1.1858315136477897,-1.22361768582562,-1.6469513902279544
lower_break,high,40,34,0.0,-1.2852328753978133,-1.215592946925065,-1.7463527519779785
lower_break,low,39,30,0.05128205128205128,-0.932936960718163,-1.11404003200681,-1.394056837298328
move_age,high,39,31,0.07692307692307693,-1.1046661264235276,-1.19279944192352,-1.5657860030036925
move_age,low,37,30,0.10810810810810811,-0.8840821289271309,-0.884231073440691,-1.3452020055072957
move_age,mid,38,28,0.02631578947368421,-0.9663556662814795,-1.090433979062745,-1.4274755428616446
range_pct,high,39,29,0.15384615384615385,-0.7457441063711997,-0.756502979726999,-1.2068639829513648
range_pct,low,39,30,0.02564102564102564,-1.0917229633627845,-1.34907229650054,-1.5528428399429497
range_pct,mid,38,29,0.02631578947368421,-1.1441747892723897,-1.28624722981644,-1.6052946658525549
range_pos,high,40,32,0.175,-0.5331431373761573,-0.7870465448207,-0.9942630139563222
range_pos,low,40,33,0.175,-0.7530696938348077,-1.06244097435551,-1.2141895704149728
range_pos,mid,39,32,0.07692307692307693,-1.1090228022209494,-1.17982350724792,-1.5701426788011144
speed_imbalance,high,39,36,0.1794871794871795,-0.878677382122592,-1.16279304498847,-1.3397972587027571
speed_imbalance,low,39,33,0.10256410256410256,-1.072548816737874,-1.17599824745866,-1.5336686933180392
speed_imbalance,mid,40,31,0.075,-1.0874686099479212,-1.086408215950335,-1.5485884865280861
speed_level,high,38,30,0.10526315789473684,-0.815502156250413,-1.10437659386132,-1.276622032830578
speed_level,low,40,33,0.025,-1.4586860603151481,-1.513403877401595,-1.919805936895313
speed_level,mid,40,33,0.1,-0.9820033773764691,-1.193988634657945,-1.443123253956634
structure_dir,high,40,29,0.1,-1.0745026365624633,-1.2103315729201052,-1.5356225131426282
structure_dir,low,40,27,0.075,-1.064055378362015,-1.2788272349451448,-1.52517525494218
structure_dir,mid,40,33,0.05,-1.2365858040020181,-1.32557623240658,-1.697705680582183
upper_break,high,39,32,0.02564102564102564,-0.9633764277584782,-0.979198359829781,-1.4244963043386432
upper_break,low,39,30,0.02564102564102564,-1.207710582036634,-1.43064750610864,-1.6688304586167992
