,range_pct,expansion,structure_dir,range_pos,upper_break,lower_break,move_age,extrema_freq,speed_imbalance,speed_level
range_pct,1.0,0.019982409638136002,-0.05288837527262683,0.04718583082082849,0.03926708730405084,-0.0439155710721088,-0.14537458711284884,-0.19300694377098304,0.02314950963594945,0.6543091896012112
expansion,0.019982409638136002,1.0,0.03956496178237294,0.0024800039174803223,-0.35251006899924286,-0.2844802775482866,-0.009391467879200586,-0.021339411059037004,-0.02339564772238641,0.011721522748785638
structure_dir,-0.05288837527262683,0.03956496178237294,1.0,0.3006226639519564,-0.2897438824210055,0.2543751286860005,-0.057699843081729825,0.07500163658180536,0.06981915183846824,0.011748094626754075
range_pos,0.04718583082082849,0.0024800039174803223,0.3006226639519564,1.0,0.2914385769383447,-0.3744651487603054,-0.16513537389225885,0.009998255828390298,-0.08044569763969242,0.04351075183318782
upper_break,0.03926708730405084,-0.35251006899924286,-0.2897438824210055,0.2914385769383447,1.0,-0.2174940796258462,0.1399258042606427,0.027586218569717325,0.1431218256371724,0.06478269553292
lower_break,-0.0439155710721088,-0.2844802775482866,0.2543751286860005,-0.3744651487603054,-0.2174940796258462,1.0,0.20177086965917235,0.11172104278795003,-0.09875476669227996,0.037647846834784775
move_age,-0.14537458711284884,-0.009391467879200586,-0.057699843081729825,-0.16513537389225885,0.1399258042606427,0.20177086965917235,1.0,-0.008980683892791996,-0.004378530006273454,-0.1235221212303905
extrema_freq,-0.19300694377098304,-0.021339411059037004,0.07500163658180536,0.009998255828390298,0.027586218569717325,0.11172104278795003,-0.008980683892791996,1.0,0.02024275892257059,0.37235191000438767
speed_imbalance,0.02314950963594945,-0.02339564772238641,0.06981915183846824,-0.08044569763969242,0.1431218256371724,-0.09875476669227996,-0.004378530006273454,0.02024275892257059,1.0,0.06520643104551398
speed_level,0.6543091896012112,0.011721522748785638,0.011748094626754075,0.04351075183318782,0.06478269553292,0.037647846834784775,-0.1235221212303905,0.37235191000438767,0.06520643104551398,1.0
