,count,mean,std,min,1%,5%,50%,95%,99%,max
range_pct,297898.0,0.20275461550780352,0.11495620870022662,0.04124295853404902,0.06762246362510181,0.08569472110488285,0.17516771943733578,0.40600755455488047,0.6267067129787013,1.7534306463039921
expansion,297898.0,-0.0011183900985086408,0.11662281272168554,-1.5686246161823756,-0.31746590197686597,-0.17595906086902868,-0.0008756916533005921,0.17376181979824978,0.3281237506709614,1.6097379115539996
structure_dir,297898.0,-0.010901630468438457,0.17584406933660596,-2.780920893056945,-0.4984990354778116,-0.27142236636309924,-0.007646678332137391,0.2453592568847848,0.4637735367038993,2.824739669617544
range_pos,297898.0,0.43059774993511835,0.5794414455685488,-9.991281003812432,-1.289025513260136,-0.4223610837749165,0.4337831316931058,1.2309928626974909,2.018032527886304,12.751813724641982
upper_break,297898.0,0.2394242324554042,0.4267327977269107,0.0,0.0,0.0,0.0,1.0,1.0,1.0
lower_break,297898.0,0.2341673995797219,0.42347801660764983,0.0,0.0,0.0,0.0,1.0,1.0,1.0
move_age,297898.0,1.6120735302981355,1.4389639045447,0.0,0.0,0.2,1.2,4.4,7.0,18.666666666666668
extrema_freq,297898.0,0.2495595455945975,0.15742952569525331,0.025157232704402517,0.05405405405405406,0.08163265306122448,0.21052631578947367,0.5714285714285714,0.8,1.3333333333333333
speed_imbalance,297898.0,0.000493950623815853,0.008912668657150959,-0.30014196648436203,-0.023343029143190266,-0.010807184213399313,0.00023419270197515534,0.012575478030585611,0.026343751307327083,0.28672634674757896
speed_level,297898.0,0.012276340883961229,0.013675330182505815,0.0,0.0007116213053922971,0.0016727725487519162,0.008519286777161836,0.03484139653600429,0.0625354824809306,0.4565373271544281
